date,active_addresses,tx_count,mvrv,sopr,hash_rate
2009-01-01,,,,,
2009-01-02,,,,,
2009-01-03,0.0,0.0,,,
2009-01-04,0.0,0.0,,,
2009-01-05,0.0,0.0,,,
2009-01-06,0.0,0.0,,,
2009-01-07,0.0,0.0,,,
2009-01-08,0.0,0.0,,,
2009-01-09,19.0,0.0,,,9.44495122962963e-13
2009-01-10,61.0,0.0,,,3.03232644740741e-12
2009-01-11,95.0,1.0,,,4.62305507555556e-12
2009-01-12,101.0,6.0,,,4.6727653451851895e-12
2009-01-13,123.0,0.0,,,6.11436316444444e-12
2009-01-14,133.0,1.0,,,6.41262478222222e-12
2009-01-15,140.0,8.0,,,6.26349397333333e-12
2009-01-16,114.0,2.0,,,5.36870912e-12
2009-01-17,109.0,0.0,,,5.41841938962963e-12
2009-01-18,111.0,1.0,,,5.3189988503703705e-12
2009-01-19,133.0,2.0,,,5.7166810074074105e-12
2009-01-20,123.0,1.0,,,5.66697073777778e-12
2009-01-21,116.0,2.0,,,5.0704475022222206e-12
2009-01-22,95.0,1.0,,,4.5236345362962995e-12
2009-01-23,91.0,1.0,,,4.1756626488888896e-12
2009-01-24,212.0,1.0,,,9.99176419555555e-12
2009-01-25,193.0,1.0,,,9.49466149925926e-12
2009-01-26,117.0,1.0,,,4.77218588444444e-12
2009-01-27,101.0,1.0,,,4.8218961540740706e-12
2009-01-28,112.0,0.0,,,5.5675501985185205e-12
2009-01-29,134.0,1.0,,,6.01494262518518e-12
2009-01-30,117.0,0.0,,,5.8161015466666705e-12
2009-01-31,159.0,1.0,,,6.86001720888889e-12
2009-02-01,116.0,1.0,,,5.61726046814815e-12
2009-02-02,130.0,1.0,,,6.36291451259259e-12
2009-02-03,154.0,16.0,,,6.90972747851852e-12
2009-02-04,119.0,0.0,,,5.91552208592593e-12
2009-02-05,126.0,0.0,,,6.26349397333333e-12
2009-02-06,122.0,0.0,,,6.06465289481481e-12
2009-02-07,156.0,4.0,,,6.41262478222222e-12
2009-02-08,134.0,1.0,,,6.561755591111111e-12
2009-02-09,179.0,1.0,,,6.66117613037037e-12
2009-02-10,120.0,0.0,,,5.9652323555555604e-12
2009-02-11,148.0,2.0,,,6.61146586074074e-12
2009-02-12,119.0,0.0,,,5.91552208592593e-12
2009-02-13,124.0,0.0,,,6.16407343407407e-12
2009-02-14,136.0,0.0,,,6.76059666962963e-12
2009-02-15,142.0,3.0,,,6.36291451259259e-12
2009-02-16,153.0,1.0,,,6.06465289481481e-12
2009-02-17,117.0,0.0,,,5.8161015466666705e-12
2009-02-18,118.0,0.0,,,5.8658118162963004e-12
2009-02-19,141.0,1.0,,,6.16407343407407e-12
2009-02-20,122.0,0.0,,,6.06465289481481e-12
2009-02-21,114.0,0.0,,,5.66697073777778e-12
2009-02-22,133.0,4.0,,,6.01494262518518e-12
2009-02-23,108.0,0.0,,,5.36870912e-12
2009-02-24,106.0,0.0,,,5.26928858074074e-12
2009-02-25,105.0,0.0,,,5.2195783111111105e-12
2009-02-26,107.0,0.0,,,5.3189988503703705e-12
2009-02-27,152.0,1.0,,,5.7166810074074105e-12
2009-02-28,107.0,1.0,,,4.92131669333333e-12
2009-03-01,105.0,0.0,,,5.2195783111111105e-12
2009-03-02,108.0,0.0,,,5.36870912e-12
2009-03-03,114.0,2.0,,,5.2195783111111105e-12
2009-03-04,130.0,2.0,,,5.16986804148148e-12
2009-03-05,121.0,1.0,,,5.5675501985185205e-12
2009-03-06,117.0,0.0,,,5.8161015466666705e-12
2009-03-07,109.0,0.0,,,5.41841938962963e-12
